experiment,classifier,training_shape,sample_length,coverage,k,score,score_type
4.01,Naive Bayes,"(56, 400)",100,1,1,0.20689655172413793,species_recall
4.01,Naive Bayes,"(56, 790)",100,1,2,0.27586206896551724,species_recall
4.01,Naive Bayes,"(56, 1717)",100,1,4,0.20689655172413793,species_recall
4.01,Naive Bayes,"(56, 1328)",100,1,6,0.10344827586206896,species_recall
4.01,Naive Bayes,"(56, 1020)",100,1,8,0.13793103448275862,species_recall
4.01,Naive Bayes,"(56, 850)",100,1,10,0.20689655172413793,species_recall
4.01,Naive Bayes,"(56, 680)",100,1,12,0.13793103448275862,species_recall
4.01,Naive Bayes,"(546, 400)",100,10,1,0.3296296296296296,species_recall
4.01,Naive Bayes,"(546, 800)",100,10,2,0.3074074074074074,species_recall
4.01,Naive Bayes,"(546, 5644)",100,10,4,0.40370370370370373,species_recall
4.01,Naive Bayes,"(546, 10425)",100,10,6,0.32592592592592595,species_recall
4.01,Naive Bayes,"(546, 9092)",100,10,8,0.24814814814814815,species_recall
4.01,Naive Bayes,"(546, 7686)",100,10,10,0.26296296296296295,species_recall
4.01,Naive Bayes,"(546, 6162)",100,10,12,0.27037037037037037,species_recall
4.01,Naive Bayes,"(5454, 400)",100,100,1,0.32192035727577223,species_recall
4.01,Naive Bayes,"(5454, 800)",100,100,2,0.25009304056568665,species_recall
4.01,Naive Bayes,"(5454, 6399)",100,100,4,0.45999255675474504,species_recall
4.01,Naive Bayes,"(5454, 38951)",100,100,6,0.6680312616300708,species_recall
4.01,Naive Bayes,"(5454, 54443)",100,100,8,0.6330480089318943,species_recall
4.01,Naive Bayes,"(5454, 49528)",100,100,10,0.6114625976925939,species_recall
4.01,Naive Bayes,"(5454, 40026)",100,100,12,0.5932266468180126,species_recall
4.01,Naive Bayes,"(10908, 400)",100,200,1,0.39356159285448455,species_recall
4.01,Naive Bayes,"(10908, 800)",100,200,2,0.3020096762188314,species_recall
4.01,Naive Bayes,"(10908, 6400)",100,200,4,0.4177521399330108,species_recall
4.01,Naive Bayes,"(10908, 44574)",100,200,6,0.8003349460364719,species_recall
4.01,Naive Bayes,"(10908, 70239)",100,200,8,0.8310383327130629,species_recall
4.01,Naive Bayes,"(10908, 65627)",100,200,10,0.812430219575735,species_recall
4.01,Naive Bayes,"(10908, 53205)",100,200,12,0.8161518422032006,species_recall
4.01,Naive Bayes,"(21817, 400)",100,400,1,0.39741323159951614,species_recall
4.01,Naive Bayes,"(21817, 800)",100,400,2,0.31218014329580346,species_recall
4.01,Naive Bayes,"(21817, 6400)",100,400,4,0.44170466176607426,species_recall
4.01,Naive Bayes,"(21817, 46735)",100,400,6,0.8750348934586396,species_recall
4.01,Naive Bayes,"(21817, 77909)",100,400,8,0.9511491579045315,species_recall
4.01,Naive Bayes,"(21817, 73643)",100,400,10,0.9496603703359077,species_recall
4.01,Naive Bayes,"(21817, 59819)",100,400,12,0.9611984739927422,species_recall
4.01,Naive Bayes,"(29, 799)",200,1,1,0.26666666666666666,species_recall
4.01,Naive Bayes,"(29, 1429)",200,1,2,0.06666666666666667,species_recall
4.01,Naive Bayes,"(29, 1897)",200,1,4,0.13333333333333333,species_recall
4.01,Naive Bayes,"(29, 1394)",200,1,6,0.06666666666666667,species_recall
4.01,Naive Bayes,"(29, 1073)",200,1,8,0.2,species_recall
4.01,Naive Bayes,"(29, 860)",200,1,10,0.26666666666666666,species_recall
4.01,Naive Bayes,"(29, 688)",200,1,12,0.26666666666666666,species_recall
4.01,Naive Bayes,"(274, 800)",200,10,1,0.21481481481481482,species_recall
4.01,Naive Bayes,"(274, 1600)",200,10,2,0.4148148148148148,species_recall
4.01,Naive Bayes,"(274, 9062)",200,10,4,0.35555555555555557,species_recall
4.01,Naive Bayes,"(274, 11944)",200,10,6,0.32592592592592595,species_recall
4.01,Naive Bayes,"(274, 9818)",200,10,8,0.2222222222222222,species_recall
4.01,Naive Bayes,"(274, 7913)",200,10,10,0.21481481481481482,species_recall
4.01,Naive Bayes,"(274, 6340)",200,10,12,0.2222222222222222,species_recall
4.01,Naive Bayes,"(2727, 800)",200,100,1,0.32663690476190477,species_recall
4.01,Naive Bayes,"(2727, 1600)",200,100,2,0.23511904761904762,species_recall
4.01,Naive Bayes,"(2727, 12773)",200,100,4,0.5059523809523809,species_recall
4.01,Naive Bayes,"(2727, 60993)",200,100,6,0.5877976190476191,species_recall
4.01,Naive Bayes,"(2727, 72181)",200,100,8,0.5200892857142857,species_recall
4.01,Naive Bayes,"(2727, 61137)",200,100,10,0.4635416666666667,species_recall
4.01,Naive Bayes,"(2727, 49232)",200,100,12,0.45163690476190477,species_recall
4.01,Naive Bayes,"(5454, 800)",200,200,1,0.40156308150353553,species_recall
4.01,Naive Bayes,"(5454, 1600)",200,200,2,0.2794938593226647,species_recall
4.01,Naive Bayes,"(5454, 12796)",200,200,4,0.4462225530331224,species_recall
4.01,Naive Bayes,"(5454, 78303)",200,200,6,0.7242277633048009,species_recall
4.01,Naive Bayes,"(5454, 108778)",200,200,8,0.6858950502419054,species_recall
4.01,Naive Bayes,"(5454, 94951)",200,200,10,0.6531447711202084,species_recall
4.01,Naive Bayes,"(5454, 76726)",200,200,12,0.6285820617789356,species_recall
4.01,Naive Bayes,"(10908, 800)",200,400,1,0.42761443989579456,species_recall
4.01,Naive Bayes,"(10908, 1600)",200,400,2,0.28879791589132864,species_recall
4.01,Naive Bayes,"(10908, 12800)",200,400,4,0.4300334946036472,species_recall
4.01,Naive Bayes,"(10908, 89347)",200,400,6,0.854484555266096,species_recall
4.01,Naive Bayes,"(10908, 139825)",200,400,8,0.8412727949385932,species_recall
4.01,Naive Bayes,"(10908, 125048)",200,400,10,0.8509490137700038,species_recall
